n,naive,fftw_c2c,fftw_r2c,naive_over_nlogn,fftw_c2c_over_nlogn,fftw_r2c_over_nlogn,naive_over_n2
1000,0.065199,5.216e-05,6.076e-05,6.54228e-06,5.23391e-09,6.09686e-09,6.5199e-08
2000,0.17158,7.086e-05,7.398e-05,7.82343e-06,3.23096e-09,3.37322e-09,4.2895e-08
3000,0.386043,0.00019468,0.000157,1.11405e-05,5.61811e-09,4.53073e-09,4.28937e-08
4000,0.756494,0.00023962,0.00017286,1.58054e-05,5.00636e-09,3.61155e-09,4.72809e-08
5000,1.19135,0.00061068,0.0002535,1.93909e-05,9.93969e-09,4.12607e-09,4.76539e-08
6000,1.53866,0.00064072,0.00023104,2.04325e-05,8.50839e-09,3.06808e-09,4.27406e-08
7000,2.10912,0.00061654,0.00022864,2.35888e-05,6.8955e-09,2.55715e-09,4.30433e-08
8000,2.73166,0.0006099,0.00023028,2.63353e-05,5.8799e-09,2.22007e-09,4.26822e-08
9000,3.53237,0.0014158,0.00078436,2.98793e-05,1.19758e-08,6.63467e-09,4.36095e-08
10000,4.61939,0.00158546,0.00090638,3.47644e-05,1.19318e-08,6.82119e-09,4.61939e-08
